"늘, 안암",요리주점,서울 성북구 고려대로24가길 13-2 1F
주유소2,요리주점,서울 성북구 고려대로27길 19 2F
히든트랙,"맥주, 호프",서울 동대문구 약령시로 6
다락,요리주점,서울 성북구 고려대로 95
호랭이술집,요리주점,서울 성북구 고려대로26길 14 지하1층 B101호
안암주점,"맥주, 호프",서울 성북구 고려대로24길 11 지하층
DaddyJ Hookah Bar,BAR,서울 성북구 고려대로24길 3-3 지하1층
뜨락,요리주점,서울 성북구 고려대로24가길 11 1층
두꺼비로맨스,요리주점,서울 성북구 고려대로26길 14 대륜빌딩 2층 201호 두꺼비로맨스 고대점
별난주점,"맥주, 호프",서울 성북구 고려대로24길 5
호랑이술상 안암,"맥주, 호프",서울 성북구 고려대로26길 55 2층
아지트 안암,BAR,서울 성북구 고려대로24길 48 B1
땡전집,"전통, 민속주점",서울 성북구 고려대로24길 24
동스꼬치,"오뎅, 꼬치",서울 성북구 안암로 103
팔레트 안암점,와인,서울 성북구 고려대로26길 42-4 1층 팔레트
안암꼬치,"오뎅, 꼬치",서울 성북구 안암로 85
한잔의 추억,요리주점,서울 성북구 고려대로26길 30
지금 보고싶다,요리주점,서울 성북구 고려대로26길 42-2 2층
박군포차,포장마차,서울 성북구 고려대로26길 34
88왕대포 고대본점,포장마차,서울 성북구 고려대로26길 49
막걸리 찬가,술집,서울 성북구 고려대로24길 58-5 고려안암빌딩
희야,이자카야,서울 성북구 고려대로26길 32 1F
춘자,포장마차,서울 성북구 고려대로26길 45-4 1층or 지하1층
번트,와인,서울 성북구 고려대로 19 1층 BURNT
골목집,요리주점,서울 성북구 고려대로26길 33
56st,요리주점,서울 성북구 고려대로26길 25 1층
TUC,BAR,서울 동대문구 정릉천동로 155
