빈티지코인노래연습장,노래방,서울 성북구 고려대로24길 31
닥터브이코인노래방,노래방,서울 성북구 고려대로24길 51 지하 1층
리코퀸 코인 노래연습장,노래방,서울 성북구 고려대로27길 13 지하1층
아지트코인노래연습장,노래방,서울 성북구 고려대로24길 9 1층
리코스타코인노래연습장 고려대점,노래방,서울 성북구 인촌로24길 45
위아코인노래연습장 고대안암점,노래방,서울 성북구 고려대로27길 9
판타스틱 코인 노래연습장,노래방,서울 성북구 고려대로27길 17
휴노래연습장,노래방,서울 성북구 안암로 81-4
스페셜박스 코인노래연습장,노래방,서울 성북구 고려대로24길 60
24시공대코인노래방,노래방,서울 성북구 고려대로24길 52
24시 코인 노래 연습장,노래방,서울 성북구 고려대로24길 3-42
Mr5PC카페,pc방,서울 성북구 고려대로24길 32 칠보빌딩
esc arena PC,pc방,서울 성북구 인촌로24길 51
이스포츠 PC아레나,pc방,서울 성북구 고려대로24길 51 3층
닥터PC,pc방,서울 성북구 고려대로22길 5
뉴본 PC,pc방,서울 성북구 안암로9가길 80-17
코리아pc방카페2호점,pc방,서울 성북구 안암로9가길 76
타이거PC방,pc방,서울 성북구 개운사길 8 타이거빌딩
나인pc방,pc방,서울 성북구 개운사길 8 지하1층
시즈블루피시방,pc방,서울 성북구 고려대로27길 4 석실빌딩
탑클래스 PC 카페,pc방,서울 성북구 개운사길 11 하은빌딩 3층
맵스PC,pc방,서울 성북구 개운사길 27 원영스위트 지하
바닐라PC 고대점,pc방,서울 성북구 개운사길 31
퍼니펀플스방,플스방,서울 성북구 인촌로27길 19
와우빌리아드클럽,당구장,서울 성북구 고려대로24길 42 방주빌딩
레드당구장,당구장,서울 성북구 고려대로28길 16 안암랜드빌딩
동아리당구장,당구장,서울 성북구 고려대로24길 52
마짱당구장,당구장,서울 성북구 인촌로24길 28
마이큐당구장,당구장,서울 성북구 인촌로24길 44
K1당구장,당구장,서울 성북구 개운사길 27
안암탁구클럽,탁구장,서울 성북구 인촌로24길 48
산타클라이밍,암벽등반,서울 동대문구 난계로30길 23 이조빌딩 지하 1층
성북K클라이밍,암벽등반,서울 성북구 보문로 90-2 4층
