밀플랜비 고려대점,부리또,서울 성북구 개운사길 52 1층
야마토텐동,일식당,서울 성북구 고려대로28길 2 1층 야마토텐동
베나레스 본점,인도 음식,서울 성북구 고려대로24길 27 2층 베나레스
이공김밥 안암본점,종합분식,서울 성북구 안암로 61-6
고른햇살,종합분식,서울 성북구 개운사길 14
오샬,인도 음식,서울 성북구 고려대로24길 6 문원빌딩 3층
한상차림밥상,한식,서울 성북구 고려대로8길 35 1층
디어브레드 고대점,베이커리,서울 성북구 개운사1길 29
유자유김치떡볶이본점,떡볶이,서울 성북구 고려대로24길 48 2층
무르무르드구스토,양식,서울 성북구 고려대로 102-2 4층
두부촌,두부요리,서울 성북구 안암로 43
백소정 본점,일식당,서울 성북구 개운사길 30 2층
한술식당 고대점,덮밥,서울 성북구 고려대로24길 15 2층
제주고깃집,"육류,고기요리",서울 성북구 안암로 69-1
삼성통닭본점,치킨,서울 성북구 고려대로24길 60
퍽앤어니언,햄버거,서울 성북구 고려대로28길 17-3 101호 퍽앤어니언
매스플레이트안암본점,이탈리아음식,서울 성북구 개운사길 18 2층
트라타 고대본점,"멕시코, 남미음식",서울 성북구 고려대로28길 14
모심,한정식,서울 성북구 개운사길 8 타이거빌딩 3층
삼통치킨 본점,치킨,서울 성북구 고려대로 92
mychef,파스타,서울 성북구 고려대로24가길 14-1
토로생선구이,한식,서울 성북구 고려대로28길 14-1 토로생선구이
서울쌈냉면,냉면,서울 성북구 개운사길 21-4
BIYA부대찌개본점,"찌개, 전골",서울 성북구 개운사길 42-4
쿠이도라쿠,일본식라면,서울 성북구 안암로 103 1층
강다짐 삼각김밥 고대점,분식,서울 성북구 고려대로24길 23
삼청당 고대안암점,김밥,서울 성북구 고려대로28길 31 1층
팔백집,돼지고기구이,서울 성북구 고려대로27길 3
더씨,중식당,서울 성북구 개운사길 8 2층
샐러디 고대안암점,"다이어트,샐러드",서울 성북구 고려대로28길 12 1층
동우설렁탕 본점,"곰탕,설렁탕",서울 성북구 개운사길 45
미스터국밥,국밥,서울 성북구 고려대로 102
횟감,생선회,서울 성북구 보문로30길 30 1층
치폴레옹 고려대점,"스테이크,립",서울 성북구 고려대로24길 45 2층
고품콩,"육류,고기요리",서울 성북구 안암로 87-5
히포크라테스 스프,양식,서울 성북구 고려대로28길 12-3
등촌샤브칼국수 안암점,"칼국수,만두",서울 성북구 개운사길 11 2층
어흥식당,"스테이크,립",서울 성북구 고려대로27길 40
영철스토리펌,햄버거,서울 성북구 안암로9가길 100 1층
니뽕내뽕 고려대점,중식당,서울 성북구 고려대로24길 23
탄,돈가스,서울 성북구 고려대로27길 25
끄트머리집 안암점,한식,서울 성북구 고려대로24길 20 1층
나그네파전,"전,빈대떡",서울 성북구 고려대로28길 7
맛닭꼬 안암고대점,"치킨,닭강정",서울 성북구 고려대로24길 27
치즈를사랑한찜닭 고려대점,찜닭,서울 성북구 개운사길 21-3
